GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Utilities/utils-test,de.larssh.utils.test,AssertionException,10,0,0,0,4,0,2,0,2,0
Utilities/utils-test,de.larssh.utils.test,SneakyException,9,0,0,0,4,0,2,0,2,0
Utilities/utils-test,de.larssh.utils.test,AssertEqualsAndHashCodeArguments,0,65,0,2,0,11,0,6,0,5
Utilities/utils-test,de.larssh.utils.test,Reflects,51,0,4,0,11,0,7,0,5,0
Utilities/utils-test,de.larssh.utils.test,Assertions,65,97,3,1,5,20,6,4,4,4
